elapsed_s,logical_step,gap_ms,owned_one,owned_two,packets,active_orders,phase
400.450,422,241.7,4029,1520,1534,3,attack
400.682,423,231.5,4029,1520,1456,3,attack
401.035,424,353.0,4029,1520,1408,3,attack
401.174,425,137.9,4029,1520,1358,3,attack
401.456,426,279.5,4029,1520,1319,3,attack
401.701,427,243.8,4029,1520,1293,3,attack
402.033,428,330.9,4029,1520,1271,3,attack
402.163,429,129.5,4029,1520,1261,3,attack
402.442,430,278.8,4029,1520,1241,3,attack
402.685,431,238.9,4029,1520,1233,3,attack
415.504,432,12815.1,4029,1520,8102,3,attack
415.813,433,308.2,4029,1520,4417,3,attack
415.892,434,77.3,4029,1520,3222,3,attack
416.043,435,150.5,4029,1520,2659,3,attack
416.357,436,313.4,4029,1520,2213,3,attack
416.469,437,109.3,4029,1520,1895,3,attack
416.743,438,273.3,4029,1520,1613,3,attack
416.980,439,233.3,4029,1520,1481,3,attack
417.304,440,323.0,4029,1520,1421,3,attack
417.416,441,111.3,4029,1520,1380,3,attack
417.717,442,300.6,4029,1520,1319,3,attack
417.974,443,256.2,4029,1520,1269,3,attack
418.276,444,301.5,4029,1520,1221,3,attack
418.429,445,143.9,4029,1520,1196,3,attack
418.700,446,269.6,4029,1520,1184,3,attack
418.963,447,262.4,4029,1520,1178,3,attack
